,Start Date,Start Time Zone,End Date,End Time Zone,Total Duration (hh:mm:ss),Charging Time (hh:mm:ss),Energy (kWh),GHG Savings (kg),Gasoline Savings (gallons),Port Type,Port Number,Plug Type,EVSE ID,Fee,Ended By,Plug In Event Id,Start SOC,End SOC
83,8/24/2018 11:21,MDT,8/24/2018 13:03,MDT,1:41:52,1:41:35,23.047,9.68,2.892,DC Fast,1A,CHAdeMO,158787,,Customer,98,18%,85%
84,8/23/2018 18:22,MDT,8/23/2018 20:37,MDT,2:14:11,2:13:44,26.828,11.268,3.367,DC Fast,1A,CHAdeMO,158787,,Customer,97,7%,83%
85,8/13/2018 16:58,MDT,8/13/2018 18:26,MDT,1:28:16,1:28:04,41.41,17.392,5.197,DC Fast,1B,Combo,158787,,Plug Out at Station,96,32%,94%
86,8/12/2018 22:02,MDT,8/12/2018 22:42,MDT,0:40:10,0:40:04,18.282,7.678,2.294,DC Fast,1B,Combo,158787,,Customer,95,5%,92%
87,8/11/2018 19:32,MDT,8/11/2018 19:57,MDT,0:24:48,0:24:39,11.193,4.701,1.405,DC Fast,1B,Combo,158787,,Plug Out at Station,94,65%,82%
88,8/11/2018 18:13,MDT,8/11/2018 19:27,MDT,1:13:12,1:13:04,36.138,15.178,4.535,DC Fast,1B,Combo,158787,,Plug Out at Station,93,30%,87%
89,8/11/2018 15:30,MDT,8/11/2018 15:31,MDT,0:00:52,0:00:00,0,0,0,,0,,158787,,Customer,92,,0%
90,8/11/2018 15:26,MDT,8/11/2018 15:27,MDT,0:01:11,0:00:28,0,0,0,DC Fast,1B,Combo,158787,,Customer,91,0%,0%
91,8/11/2018 15:25,MDT,8/11/2018 15:25,MDT,0:00:22,0:00:20,0,0,0,DC Fast,1B,Combo,158787,,Customer,90,0%,4%
92,8/11/2018 15:24,MDT,8/11/2018 15:25,MDT,0:00:31,0:00:12,0.001,0,0,DC Fast,1B,Combo,158787,,Customer,89,0%,4%
93,8/10/2018 12:43,MDT,8/10/2018 13:32,MDT,0:48:48,0:48:40,23.371,9.816,2.933,DC Fast,1B,Combo,158787,,Plug Out at Station,88,48%,84%
94,8/9/2018 22:51,MDT,8/9/2018 23:12,MDT,0:21:38,0:21:28,9.457,3.972,1.187,DC Fast,1B,Combo,158787,,Plug Out at Station,1533876667,65%,80%
95,8/6/2018 19:44,MDT,8/6/2018 21:25,MDT,1:40:33,1:40:23,43.612,18.317,5.473,DC Fast,1B,Combo,158787,,Plug Out at Station,87,26%,94%
96,8/6/2018 15:32,MDT,8/6/2018 16:17,MDT,0:45:00,0:44:36,27.954,11.741,3.508,DC Fast,1B,Combo,158787,,Plug Out at Station,86,10%,52%
97,8/6/2018 11:37,MDT,8/6/2018 12:24,MDT,0:46:17,0:45:55,32.048,13.46,4.022,DC Fast,1B,Combo,158787,,Plug Out at Station,85,17%,66%
98,8/4/2018 13:50,MDT,8/4/2018 15:11,MDT,1:20:21,1:19:56,43.017,18.067,5.399,DC Fast,1B,Combo,158787,,Plug Out at Station,1533412241,15%,83%
99,7/29/2018 17:44,MDT,7/29/2018 18:34,MDT,0:49:46,0:49:28,17.954,7.541,2.253,DC Fast,1A,CHAdeMO,158787,,Plug Out at Station,84,3%,85%
100,7/29/2018 17:20,MDT,7/29/2018 17:22,MDT,0:02:03,0:00:00,0,0,0,,0,,158787,,Timeout,83,,0%
101,7/29/2018 16:17,MDT,7/29/2018 17:20,MDT,1:02:44,1:02:12,37.067,15.568,4.652,DC Fast,1B,Combo,158787,,Plug Out at Station,1532902659,6%,65%
102,7/29/2018 16:11,MDT,7/29/2018 16:16,MDT,0:05:12,0:05:07,0,0,0,DC Fast,1B,Combo,158787,,Plug Out at Station,82,5%,5%
103,7/29/2018 16:07,MDT,7/29/2018 16:07,MDT,0:00:22,0:00:20,0,0,0,DC Fast,1B,Combo,158787,,Customer,81,0%,5%
104,7/29/2018 16:04,MDT,7/29/2018 16:05,MDT,0:00:58,0:00:48,0.332,0.139,0.042,DC Fast,1B,Combo,158787,,Customer,80,0%,5%
105,7/27/2018 14:03,MDT,7/27/2018 15:25,MDT,1:22:01,1:21:36,21.351,8.967,2.68,DC Fast,1A,CHAdeMO,158787,,Plug Out at Station,79,3%,91%
106,7/25/2018 12:09,MDT,7/25/2018 12:11,MDT,0:02:03,0:00:00,0,0,0,,0,,158787,,Timeout,78,,0%
107,7/21/2018 20:47,MDT,7/21/2018 21:21,MDT,0:34:25,0:34:07,24.394,10.245,3.061,DC Fast,1B,Combo,158787,,Plug Out at Station,1532227631,20%,58%
108,7/21/2018 15:52,MDT,7/21/2018 15:54,MDT,0:02:00,0:00:00,0,0,0,,0,,158787,,Timeout,1532209928,,0%
109,7/20/2018 15:33,MDT,7/20/2018 16:40,MDT,1:06:48,1:06:36,34.487,14.485,4.328,DC Fast,1B,Combo,158787,,Plug Out at Station,77,30%,83%
110,7/20/2018 15:05,MDT,7/20/2018 15:17,MDT,0:12:26,0:11:31,8.091,3.398,1.015,DC Fast,1B,Combo,158787,,Outlet Offline,76,18%,30%
111,7/20/2018 10:37,MDT,7/20/2018 12:05,MDT,1:27:43,1:27:19,34.173,14.353,4.289,DC Fast,1B,Combo,158787,,Plug Out at Station,1532104669,44%,96%
112,7/20/2018 10:35,MDT,7/20/2018 10:37,MDT,0:02:13,0:00:24,0,0,0,DC Fast,1B,Combo,158787,,Outlet Offline,75,0%,0%
113,7/20/2018 10:33,MDT,7/20/2018 10:34,MDT,0:01:28,0:00:00,0,0,0,DC Fast,1B,Combo,158787,,Outlet Offline,1532104393,0%,0%
114,7/19/2018 15:25,MDT,7/19/2018 17:27,MDT,2:02:15,2:01:27,24.368,10.235,3.058,DC Fast,1A,CHAdeMO,158787,,Plug Out at Station,1532035495,30%,98%
115,7/19/2018 11:10,MDT,7/19/2018 12:28,MDT,1:17:33,1:17:24,42.455,17.831,5.328,DC Fast,1B,Combo,158787,,Plug Out at Station,74,18%,86%
116,7/19/2018 11:08,MDT,7/19/2018 11:08,MDT,0:00:23,0:00:00,0,0,0,DC Fast,1B,Combo,158787,,Customer,73,0%,0%
117,7/19/2018 10:56,MDT,7/19/2018 10:56,MDT,0:00:38,0:00:00,0,0,0,DC Fast,1B,Combo,158787,,Customer,72,0%,0%
118,7/19/2018 10:10,MDT,7/19/2018 10:41,MDT,0:30:49,0:30:24,18.783,7.889,2.357,DC Fast,1B,Combo,158787,,Plug Out at Station,1532016642,43%,72%
119,7/19/2018 10:02,MDT,7/19/2018 10:08,MDT,0:06:29,0:00:48,0.327,0.137,0.041,DC Fast,1B,Combo,158787,,Plug Out at Station,1532016137,41%,0%
120,7/19/2018 9:40,MDT,7/19/2018 9:41,MDT,0:00:41,0:00:32,0.135,0.057,0.017,DC Fast,1B,Combo,158787,,Customer,71,0%,41%
121,7/18/2018 20:16,MDT,7/18/2018 21:13,MDT,0:56:44,0:56:16,18.785,7.89,2.358,DC Fast,1A,CHAdeMO,158787,,Plug Out at Station,1531966592,45%,98%
122,7/2/2018 4:14,MDT,7/2/2018 5:28,MDT,1:14:01,1:13:56,23.286,9.78,2.922,DC Fast,1B,Combo,158787,,Customer,70,61%,99%
123,7/1/2018 18:28,MDT,7/1/2018 18:30,MDT,0:02:00,0:00:00,0,0,0,,0,,158787,,Timeout,1530491310,,0%
124,6/30/2018 19:24,MDT,6/30/2018 20:10,MDT,0:46:07,0:45:44,25.118,10.55,3.152,DC Fast,1B,Combo,158787,,Plug Out at Station,1530408242,41%,82%
125,6/27/2018 17:45,MDT,6/27/2018 21:23,MDT,3:38:43,3:37:27,54.33,22.819,6.818,DC Fast,1B,Combo,158787,,Plug Out at Station,1530143098,11%,100%
126,6/27/2018 15:39,MDT,6/27/2018 15:53,MDT,0:13:28,0:13:20,9.282,3.898,1.165,DC Fast,1B,Combo,158787,,Plug Out at Station,69,46%,60%
127,6/26/2018 19:31,MDT,6/26/2018 19:45,MDT,0:13:24,0:11:00,7.076,2.972,0.888,DC Fast,1B,Combo,158787,,Timeout,1530063106,56%,66%
128,6/26/2018 18:56,MDT,6/26/2018 19:22,MDT,0:25:56,0:24:56,15.279,6.417,1.918,DC Fast,1B,Combo,158787,,Outlet Offline,68,31%,55%
129,6/26/2018 18:22,MDT,6/26/2018 18:39,MDT,0:17:23,0:16:32,10.912,4.583,1.369,DC Fast,1B,Combo,158787,,Outlet Offline,67,12%,30%
130,6/3/2018 20:11,MDT,6/3/2018 20:37,MDT,0:25:31,0:25:04,11.262,4.73,1.413,DC Fast,1B,Combo,158787,,Customer,66,62%,79%
131,6/3/2018 19:17,MDT,6/3/2018 20:11,MDT,0:53:27,0:51:48,35.957,15.102,4.513,DC Fast,1B,Combo,158787,,Customer,65,6%,61%
132,6/1/2018 19:40,MDT,6/1/2018 20:07,MDT,0:27:12,0:23:44,16.838,7.072,2.113,DC Fast,1B,Combo,158787,,Timeout,1527903612,38%,65%
133,5/31/2018 17:40,MDT,5/31/2018 19:08,MDT,1:28:22,1:26:24,43.048,18.08,5.403,DC Fast,1B,Combo,158787,,Plug Out at Station,64,24%,92%
134,5/25/2018 12:41,MDT,5/25/2018 13:18,MDT,0:37:30,0:37:24,22.594,9.489,2.836,DC Fast,1B,Combo,158787,,Customer,63,29%,98%
135,5/23/2018 23:28,MDT,5/24/2018 1:12,MDT,1:43:17,1:43:07,42.367,17.794,5.317,DC Fast,1B,Combo,158787,,Plug Out at Station,1527139723,29%,99%
136,5/22/2018 20:53,MDT,5/22/2018 21:35,MDT,0:41:48,0:41:16,16.48,6.922,2.068,DC Fast,1A,CHAdeMO,158787,,Plug Out at Station,1527043995,9%,99%
137,5/13/2018 13:39,MDT,5/13/2018 14:52,MDT,1:12:54,1:12:27,44.226,18.575,5.55,DC Fast,1B,Combo,158787,,Plug Out at Station,52,13%,82%
138,5/10/2018 18:12,MDT,5/10/2018 19:10,MDT,0:58:01,0:56:48,37.955,15.941,4.763,DC Fast,1B,Combo,158787,,Outlet Offline,51,14%,72%
139,5/9/2018 11:57,MDT,5/9/2018 12:38,MDT,0:40:33,0:39:56,23.676,9.944,2.971,DC Fast,1B,Combo,158787,,Customer,50,41%,76%
140,5/6/2018 6:52,MDT,5/6/2018 8:36,MDT,1:44:07,1:43:44,35.94,15.095,4.51,DC Fast,1B,Combo,158787,,Plug Out at Station,1525611141,41%,100%
141,5/6/2018 6:50,MDT,5/6/2018 6:51,MDT,0:01:17,0:00:16,0,0,0,DC Fast,1B,Combo,158787,,Outlet Offline,1525610997,0%,0%
142,4/12/2018 18:31,MDT,4/12/2018 19:25,MDT,0:54:24,0:54:11,31.252,13.126,3.922,DC Fast,1A,CHAdeMO,158787,,Plug Out at Station,45,10%,94%
